

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us       84.323s        98.19%       84.323s       16.865s             5  
                                          ProfilerStep*         4.97%        6.314s        67.65%       86.003s       17.201s       0.000us         0.00%       33.989s        6.798s             5  
                                            aten::copy_         0.36%     457.990ms        40.54%       51.531s     480.700us       21.920s        25.52%       21.920s     204.477us        107200  
                                               aten::to         0.05%      57.583ms        36.86%       46.853s     698.827us       0.000us         0.00%       15.687s     233.980us         67045  
                                         aten::_to_copy         0.13%     164.160ms        36.81%       46.795s     790.461us       0.000us         0.00%       15.687s     264.987us         59200  
autograd::engine::evaluate_function: SoftmaxBackward...         0.01%      10.416ms         0.50%     637.584ms     332.075us       0.000us         0.00%       14.440s       7.521ms          1920  
                                       SoftmaxBackward0         0.01%       7.229ms         0.49%     627.168ms     326.650us       0.000us         0.00%       14.440s       7.521ms          1920  
                           aten::_softmax_backward_data         0.02%      19.485ms         0.49%     619.940ms     322.885us        7.288s         8.49%       14.440s       7.521ms          1920  
                                              aten::mul         0.20%     256.493ms         3.29%        4.183s     114.659us       12.440s        14.49%       12.440s     341.015us         36480  
                                      aten::masked_fill         0.02%      25.006ms         0.80%        1.013s     263.836us       0.000us         0.00%        9.180s       2.391ms          3840  
                                          aten::softmax         0.01%       7.866ms         0.05%      65.700ms      34.219us       0.000us         0.00%        8.629s       4.494ms          1920  
                                           aten::matmul         0.03%      37.527ms         0.48%     615.712ms     106.895us       0.000us         0.00%        8.433s       1.464ms          5760  
                                              aten::bmm         0.43%     545.033ms         2.02%        2.563s     222.489us        8.109s         9.44%        8.109s     703.913us         11520  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us        7.920s         9.22%        7.920s     224.809us         35228  
autograd::engine::evaluate_function: ToCopyBackward0...         0.09%     111.022ms         4.37%        5.559s     234.772us       0.000us         0.00%        7.836s     330.933us         23680  
                                        ToCopyBackward0         0.02%      26.862ms         4.29%        5.448s     230.083us       0.000us         0.00%        7.836s     330.933us         23680  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us        7.803s         9.09%        7.803s     328.087us         23782  
void (anonymous namespace)::softmax_warp_backward<fl...         0.00%       0.000us         0.00%       0.000us       0.000us        7.326s         8.53%        7.326s       3.796ms          1930  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us        7.190s         8.37%        7.190s       3.725ms          1930  
