timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/09/13 13:24:27.706, 0, NVIDIA L40S, 0 %, 0 %, 0 MiB, 46068 MiB, 35, 34.87 W
2026/09/13 13:24:32.710, 0, NVIDIA L40S, 0 %, 0 %, 847 MiB, 46068 MiB, 37, 85.04 W
2026/09/13 13:24:37.711, 0, NVIDIA L40S, 99 %, 88 %, 12457 MiB, 46068 MiB, 48, 290.66 W
2026/09/13 13:24:42.712, 0, NVIDIA L40S, 100 %, 88 %, 12457 MiB, 46068 MiB, 51, 303.58 W
2026/09/13 13:24:47.713, 0, NVIDIA L40S, 100 %, 88 %, 12457 MiB, 46068 MiB, 53, 298.99 W
2026/09/13 13:24:52.715, 0, NVIDIA L40S, 100 %, 88 %, 12457 MiB, 46068 MiB, 55, 305.41 W
2026/09/13 13:24:57.715, 0, NVIDIA L40S, 100 %, 87 %, 12457 MiB, 46068 MiB, 56, 300.25 W
2026/09/13 13:25:02.716, 0, NVIDIA L40S, 100 %, 86 %, 12457 MiB, 46068 MiB, 58, 298.37 W
2026/09/13 13:25:07.717, 0, NVIDIA L40S, 100 %, 86 %, 12457 MiB, 46068 MiB, 59, 302.49 W
2026/09/13 13:25:12.718, 0, NVIDIA L40S, 100 %, 85 %, 12457 MiB, 46068 MiB, 60, 301.32 W
2026/09/13 13:25:17.719, 0, NVIDIA L40S, 0 %, 0 %, 12457 MiB, 46068 MiB, 55, 225.15 W
2026/09/13 13:25:22.719, 0, NVIDIA L40S, 99 %, 85 %, 12457 MiB, 46068 MiB, 61, 297.32 W
2026/09/13 13:25:27.720, 0, NVIDIA L40S, 100 %, 86 %, 12457 MiB, 46068 MiB, 62, 301.19 W
2026/09/13 13:25:32.721, 0, NVIDIA L40S, 100 %, 86 %, 12457 MiB, 46068 MiB, 62, 298.41 W
2026/09/13 13:25:37.722, 0, NVIDIA L40S, 100 %, 84 %, 12457 MiB, 46068 MiB, 64, 301.58 W
2026/09/13 13:25:42.723, 0, NVIDIA L40S, 99 %, 85 %, 12457 MiB, 46068 MiB, 64, 300.39 W
2026/09/13 13:25:47.725, 0, NVIDIA L40S, 100 %, 85 %, 12457 MiB, 46068 MiB, 65, 300.48 W
2026/09/13 13:25:52.725, 0, NVIDIA L40S, 100 %, 86 %, 12457 MiB, 46068 MiB, 65, 300.63 W
2026/09/13 13:25:57.726, 0, NVIDIA L40S, 100 %, 85 %, 12457 MiB, 46068 MiB, 67, 300.80 W
2026/09/13 13:26:02.727, 0, NVIDIA L40S, 100 %, 86 %, 12457 MiB, 46068 MiB, 68, 304.93 W
2026/09/13 13:26:07.728, 0, NVIDIA L40S, 96 %, 79 %, 12457 MiB, 46068 MiB, 68, 302.25 W
2026/09/13 13:26:12.731, 0, NVIDIA L40S, 100 %, 87 %, 12457 MiB, 46068 MiB, 68, 301.99 W
2026/09/13 13:26:17.732, 0, NVIDIA L40S, 100 %, 83 %, 12457 MiB, 46068 MiB, 69, 303.60 W
2026/09/13 13:26:22.733, 0, NVIDIA L40S, 97 %, 87 %, 12457 MiB, 46068 MiB, 69, 301.49 W
2026/09/13 13:26:27.733, 0, NVIDIA L40S, 99 %, 85 %, 12457 MiB, 46068 MiB, 70, 305.91 W
2026/09/13 13:26:32.734, 0, NVIDIA L40S, 100 %, 85 %, 12457 MiB, 46068 MiB, 70, 301.23 W
2026/09/13 13:26:37.735, 0, NVIDIA L40S, 100 %, 86 %, 12457 MiB, 46068 MiB, 71, 303.20 W
2026/09/13 13:26:42.735, 0, NVIDIA L40S, 100 %, 84 %, 12457 MiB, 46068 MiB, 71, 302.71 W
2026/09/13 13:26:47.737, 0, NVIDIA L40S, 100 %, 86 %, 12457 MiB, 46068 MiB, 71, 307.11 W
2026/09/13 13:26:52.737, 0, NVIDIA L40S, 95 %, 79 %, 12457 MiB, 46068 MiB, 72, 253.26 W
2026/09/13 13:26:57.738, 0, NVIDIA L40S, 96 %, 79 %, 12457 MiB, 46068 MiB, 71, 308.16 W
2026/09/13 13:27:02.738, 0, NVIDIA L40S, 99 %, 85 %, 12457 MiB, 46068 MiB, 71, 303.20 W
2026/09/13 13:27:07.739, 0, NVIDIA L40S, 100 %, 87 %, 12457 MiB, 46068 MiB, 71, 302.32 W
2026/09/13 13:27:12.740, 0, NVIDIA L40S, 100 %, 84 %, 12457 MiB, 46068 MiB, 71, 302.48 W
2026/09/13 13:27:17.740, 0, NVIDIA L40S, 99 %, 86 %, 12457 MiB, 46068 MiB, 71, 305.98 W
2026/09/13 13:27:22.741, 0, NVIDIA L40S, 100 %, 87 %, 12457 MiB, 46068 MiB, 70, 305.08 W
2026/09/13 13:27:27.741, 0, NVIDIA L40S, 100 %, 86 %, 12457 MiB, 46068 MiB, 71, 304.11 W
