-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us        4.452s        93.13%        4.452s        4.452s             1  
                                          ProfilerStep*         6.94%     466.782ms        69.21%        4.656s        4.656s       0.000us         0.00%        1.580s        1.580s             1  
                                           aten::linear         0.08%       5.415ms         1.28%      86.252ms      55.008us       0.000us         0.00%        1.124s     717.110us          1568  
    autograd::engine::evaluate_function: AddmmBackward0         0.13%       9.061ms         6.64%     446.700ms     569.770us       0.000us         0.00%        1.106s       1.410ms           784  
                                         AddmmBackward0         0.08%       5.080ms         4.17%     280.410ms     357.666us       0.000us         0.00%     963.852ms       1.229ms           784  
                                               aten::mm         0.40%      27.109ms         4.00%     269.086ms     171.611us     963.852ms        20.16%     963.852ms     614.701us          1568  
                                            aten::copy_         0.53%      35.804ms        41.37%        2.783s     323.274us     732.374ms        15.32%     732.374ms      85.081us          8608  
                                            aten::addmm         0.25%      16.544ms         0.30%      20.170ms      25.727us     509.628ms        10.66%     509.628ms     650.036us           784  
autograd::engine::evaluate_function: NativeLayerNorm...         0.08%       5.155ms         1.51%     101.330ms     253.324us       0.000us         0.00%     473.817ms       1.185ms           400  
                                               aten::to         0.07%       4.454ms        38.74%        2.606s     438.988us       0.000us         0.00%     409.155ms      68.916us          5937  
                                         aten::_to_copy         0.19%      13.080ms        38.68%        2.602s     505.011us       0.000us         0.00%     409.155ms      79.417us          5152  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us     344.591ms         7.21%     344.591ms     861.479us           400  
                               NativeLayerNormBackward0         0.02%       1.238ms         1.07%      72.291ms     180.726us       0.000us         0.00%     341.406ms     853.515us           400  
                       aten::native_layer_norm_backward         0.05%       3.597ms         1.06%      71.053ms     177.632us     341.406ms         7.14%     341.406ms     853.515us           400  
ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us     333.574ms         6.98%     333.574ms     794.224us           420  
autograd::engine::evaluate_function: ScaledDotProduc...         0.04%       2.888ms         0.80%      53.891ms     280.685us       0.000us         0.00%     305.762ms       1.593ms           192  
                ScaledDotProductFlashAttentionBackward0         0.02%       1.040ms         0.76%      51.003ms     265.642us       0.000us         0.00%     305.762ms       1.593ms           192  
     aten::_scaled_dot_product_flash_attention_backward         0.03%       2.139ms         0.74%      49.964ms     260.228us       0.000us         0.00%     305.762ms       1.593ms           192  
                        aten::_flash_attention_backward         0.04%       2.989ms         0.69%      46.200ms     240.624us     305.762ms         6.40%     305.762ms       1.593ms           192  
