

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us       16.854s        97.01%       16.854s       16.854s             1  
                                          ProfilerStep*         4.80%        1.231s        67.05%       17.189s       17.189s       0.000us         0.00%        6.794s        6.794s             1  
                                            aten::copy_         0.36%      91.653ms        40.19%       10.303s     480.558us        4.384s        25.24%        4.384s     204.498us         21440  
                                               aten::to         0.05%      11.996ms        36.56%        9.372s     698.963us       0.000us         0.00%        3.138s     234.025us         13409  
                                         aten::_to_copy         0.13%      32.845ms        36.51%        9.360s     790.574us       0.000us         0.00%        3.138s     265.037us         11840  
autograd::engine::evaluate_function: SoftmaxBackward...         0.01%       1.781ms         0.50%     127.284ms     331.470us       0.000us         0.00%        2.889s       7.523ms           384  
                                       SoftmaxBackward0         0.01%       1.545ms         0.49%     125.503ms     326.831us       0.000us         0.00%        2.889s       7.523ms           384  
                           aten::_softmax_backward_data         0.02%       4.350ms         0.48%     123.959ms     322.809us        1.458s         8.39%        2.889s       7.523ms           384  
                                              aten::mul         0.20%      50.774ms         3.29%     843.944ms     115.672us        2.488s        14.32%        2.488s     340.966us          7296  
                                      aten::masked_fill         0.02%       5.471ms         0.79%     202.317ms     263.433us       0.000us         0.00%        1.836s       2.391ms           768  
                                          aten::softmax         0.01%       1.563ms         0.05%      12.919ms      33.643us       0.000us         0.00%        1.725s       4.492ms           384  
                                           aten::matmul         0.03%       8.397ms         0.47%     119.271ms     103.534us       0.000us         0.00%        1.687s       1.464ms          1152  
                                              aten::bmm         0.40%     102.530ms         1.97%     505.249ms     219.292us        1.622s         9.34%        1.622s     704.005us          2304  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us        1.600s         9.21%        1.600s     226.315us          7068  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us        1.575s         9.06%        1.575s     325.527us          4838  
autograd::engine::evaluate_function: ToCopyBackward0...         0.08%      20.619ms         4.34%        1.113s     234.992us       0.000us         0.00%        1.568s     331.059us          4736  
                                        ToCopyBackward0         0.02%       5.311ms         4.26%        1.092s     230.638us       0.000us         0.00%        1.568s     331.059us          4736  
void (anonymous namespace)::softmax_warp_backward<fl...         0.00%       0.000us         0.00%       0.000us       0.000us        1.496s         8.61%        1.496s       3.797ms           394  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us        1.468s         8.45%        1.468s       3.725ms           394  
