timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/09/13 13:44:10.589, 0, NVIDIA L40S, 0 %, 0 %, 0 MiB, 46068 MiB, 35, 35.58 W
2026/09/13 13:44:15.595, 0, NVIDIA L40S, 0 %, 0 %, 847 MiB, 46068 MiB, 37, 83.40 W
2026/09/13 13:44:20.596, 0, NVIDIA L40S, 38 %, 36 %, 12457 MiB, 46068 MiB, 48, 288.57 W
2026/09/13 13:44:25.596, 0, NVIDIA L40S, 99 %, 88 %, 12457 MiB, 46068 MiB, 51, 305.12 W
2026/09/13 13:44:30.597, 0, NVIDIA L40S, 99 %, 87 %, 12457 MiB, 46068 MiB, 53, 298.69 W
2026/09/13 13:44:35.598, 0, NVIDIA L40S, 99 %, 87 %, 12457 MiB, 46068 MiB, 55, 302.89 W
2026/09/13 13:44:40.599, 0, NVIDIA L40S, 99 %, 86 %, 12469 MiB, 46068 MiB, 57, 307.86 W
2026/09/13 13:44:45.600, 0, NVIDIA L40S, 0 %, 0 %, 12469 MiB, 46068 MiB, 53, 193.90 W
2026/09/13 13:44:50.600, 0, NVIDIA L40S, 99 %, 86 %, 12469 MiB, 46068 MiB, 60, 295.02 W
2026/09/13 13:44:55.601, 0, NVIDIA L40S, 99 %, 82 %, 12469 MiB, 46068 MiB, 60, 234.65 W
2026/09/13 13:45:00.602, 0, NVIDIA L40S, 94 %, 78 %, 12469 MiB, 46068 MiB, 63, 304.22 W
2026/09/13 13:45:05.602, 0, NVIDIA L40S, 0 %, 0 %, 12469 MiB, 46068 MiB, 55, 104.33 W
2026/09/13 13:45:10.603, 0, NVIDIA L40S, 0 %, 0 %, 12469 MiB, 46068 MiB, 55, 103.03 W
2026/09/13 13:45:15.604, 0, NVIDIA L40S, 0 %, 0 %, 12469 MiB, 46068 MiB, 54, 102.66 W
2026/09/13 13:45:20.605, 0, NVIDIA L40S, 0 %, 0 %, 12469 MiB, 46068 MiB, 54, 102.54 W
