-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us        4.027s        97.53%        4.027s        4.027s             1  
                                          ProfilerStep*        15.76%     886.581ms        73.35%        4.125s        4.125s       0.000us         0.00%        1.321s        1.321s             1  
                                           aten::linear         0.20%      11.058ms         3.11%     174.819ms      55.746us       0.000us         0.00%        1.172s     373.712us          3136  
    autograd::engine::evaluate_function: AddmmBackward0         0.31%      17.306ms         6.57%     369.221ms     235.472us       0.000us         0.00%        1.161s     740.432us          1568  
                                         AddmmBackward0         0.17%       9.623ms         4.57%     256.836ms     163.799us       0.000us         0.00%        1.059s     675.070us          1568  
                                               aten::mm         0.87%      48.824ms         4.19%     235.610ms      75.131us        1.059s        25.64%        1.059s     337.535us          3136  
                                            aten::addmm         0.59%      33.124ms         0.72%      40.445ms      25.794us     550.739ms        13.34%     550.739ms     351.237us          1568  
                                            aten::copy_         1.17%      65.738ms        40.71%        2.289s     132.979us     474.238ms        11.49%     474.238ms      27.546us         17216  
autograd::engine::evaluate_function: NativeLayerNorm...         0.18%       9.990ms         1.26%      71.012ms      88.765us       0.000us         0.00%     457.764ms     572.205us           800  
ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us     452.103ms        10.95%     452.103ms     382.490us          1182  
ampere_bf16_s1688gemm_bf16_128x128_ldg8_relu_f2f_sta...         0.00%       0.000us         0.00%       0.000us       0.000us     338.592ms         8.20%     338.592ms     293.917us          1152  
                               NativeLayerNormBackward0         0.04%       2.282ms         1.00%      56.270ms      70.338us       0.000us         0.00%     327.989ms     409.986us           800  
                       aten::native_layer_norm_backward         0.12%       6.946ms         0.96%      53.988ms      67.485us     327.989ms         7.94%     327.989ms     409.986us           800  
                                               aten::to         0.14%       8.146ms        39.84%        2.241s     188.713us       0.000us         0.00%     310.291ms      26.134us         11873  
                                         aten::_to_copy         0.44%      24.930ms        39.70%        2.232s     216.658us       0.000us         0.00%     310.291ms      30.114us         10304  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us     301.631ms         7.31%     301.631ms     255.187us          1182  
autograd::engine::evaluate_function: ScaledDotProduc...         0.10%       5.710ms         0.91%      50.919ms     132.603us       0.000us         0.00%     276.814ms     720.869us           384  
                ScaledDotProductFlashAttentionBackward0         0.03%       1.792ms         0.80%      45.209ms     117.733us       0.000us         0.00%     276.814ms     720.869us           384  
